day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,lat,long
Monday,Morning,urip sumuharjo,panakkukang,TK,R2,R4,-5.1348243,119.4316818
Wednesday,Evening,kaswari,mariso,TL,R4,R4,-5.1521162,119.4147322
Thursday,Morning,daeng tata raya iii,tamalate,T,R2,NOV,-5.1850019,119.423432
Friday,Morning,urip sumuharjo,panakkukang,TM,R2,NOV,-5.1348243,119.4316818
Friday,Evening,thamrin,ujung pandang,TK,B1,R4,-5.1365726,119.4091304
Saturday,Afternoon,satelit i,biringkanaya,TK,R2,R2,-5.1290339,119.510128
Saturday,Morning,pettarani,panakkukang,TL,R4,R2,-5.1366409,119.4400406
Saturday,Afternoon,jipang raya,rappocini,TK,R4,R2,-5.1868077,119.4483734
Sunday,Afternoon,letjen hertasning,rappocini,OC,R2,NOV,-5.1630661,119.4444202
Sunday,Evening,katimbang,biringkanaya,T,R2,NOV,-5.1381608,119.5208779
Saturday,Evening,perintis kemerdekaan,biringkanaya,TK,R4,R4,-5.0757471,119.5229217
Sunday,Evening,veteran utara,makassar,TM,R2,NOV,-5.1457033,119.4248691
Sunday,Night,puri raya,manggala,TK,R2,R4,-5.169771,119.4641834
Tuesday,Night,sungai walanae,makassar,TK,R2,R4,-5.1477926,119.4238128
Friday,Evening,parumpa,biringkanaya,TL,R2,NOV,-5.117091,119.5096487
Sunday,Morning,pettarani,rappocini,TL,R2,R2,-5.1521953,119.4374749
Tuesday,Afternoon,inspeksi kanal,manggala,TL,R2,R2,-5.1656385,119.466649
